name,surname,email,pnr,mkt_permission
NOMBRE26,APELLIDO26,NOMBRE26APELLIDO26@gmail.com,WHYHN,0
NOMBRE27,APELLIDO27,NOMBRE27APELLIDO27@gmail.com,JZALJ,1
NOMBRE28,APELLIDO28,NOMBRE28APELLIDO28@gmail.com,ZNLPS,0
NOMBRE29,APELLIDO29,NOMBRE29APELLIDO29@gmail.com,FMRMC,1
NOMBRE30,APELLIDO30,NOMBRE30APELLIDO30@gmail.com,PTUEJ,0
NOMBRE31,APELLIDO31,NOMBRE31APELLIDO31@gmail.com,QBFQJ,0
NOMBRE32,APELLIDO32,NOMBRE32APELLIDO32@gmail.com,BHJCD,0
NOMBRE33,APELLIDO33,NOMBRE33APELLIDO33@gmail.com,JNNKQ,1
NOMBRE34,APELLIDO34,NOMBRE34APELLIDO34@gmail.com,AQZAH,1
NOMBRE35,APELLIDO35,NOMBRE35APELLIDO35@gmail.com,DYIVW,0
NOMBRE36,APELLIDO36,NOMBRE36APELLIDO36@gmail.com,BKGQJ,1
NOMBRE37,APELLIDO37,NOMBRE37APELLIDO37@gmail.com,TXKCT,0
NOMBRE38,APELLIDO38,NOMBRE38APELLIDO38@gmail.com,EXXYZ,1
NOMBRE39,APELLIDO39,NOMBRE39APELLIDO39@gmail.com,ALEXK,1
NOMBRE40,APELLIDO40,NOMBRE40APELLIDO40@gmail.com,EJRUO,1
NOMBRE41,APELLIDO41,NOMBRE41APELLIDO41@gmail.com,PSDSU,1
NOMBRE42,APELLIDO42,NOMBRE42APELLIDO42@gmail.com,HQLIW,1
NOMBRE43,APELLIDO43,NOMBRE43APELLIDO43@gmail.com,VDIPE,0
NOMBRE44,APELLIDO44,NOMBRE44APELLIDO44@gmail.com,MQHSX,1
NOMBRE45,APELLIDO45,NOMBRE45APELLIDO45@gmail.com,ZFHEL,1
NOMBRE46,APELLIDO46,NOMBRE46APELLIDO46@gmail.com,RSWSV,0
NOMBRE47,APELLIDO47,NOMBRE47APELLIDO47@gmail.com,HMKSK,0
NOMBRE48,APELLIDO48,NOMBRE48APELLIDO48@gmail.com,UWKPA,0
NOMBRE49,APELLIDO49,NOMBRE49APELLIDO49@gmail.com,ROYBQ,1
NOMBRE50,APELLIDO50,NOMBRE50APELLIDO50@gmail.com,PGHVF,1
NOMBRE51,APELLIDO51,NOMBRE51APELLIDO51@gmail.com,DZHDN,0
NOMBRE52,APELLIDO52,NOMBRE52APELLIDO52@gmail.com,ZGSMC,1
NOMBRE53,APELLIDO53,NOMBRE53APELLIDO53@gmail.com,PPPEB,1
NOMBRE54,APELLIDO54,NOMBRE54APELLIDO54@gmail.com,AZWVJ,0
NOMBRE55,APELLIDO55,NOMBRE55APELLIDO55@gmail.com,ZDCFN,0
NOMBRE56,APELLIDO56,NOMBRE56APELLIDO56@gmail.com,NOUCA,0
NOMBRE57,APELLIDO57,NOMBRE57APELLIDO57@gmail.com,QNRLO,0
NOMBRE58,APELLIDO58,NOMBRE58APELLIDO58@gmail.com,RYNHM,0
NOMBRE59,APELLIDO59,NOMBRE59APELLIDO59@gmail.com,KAXOB,0
NOMBRE60,APELLIDO60,NOMBRE60APELLIDO60@gmail.com,JFIUM,0
NOMBRE61,APELLIDO61,NOMBRE61APELLIDO61@gmail.com,TAXQD,0
NOMBRE62,APELLIDO62,NOMBRE62APELLIDO62@gmail.com,BFEPH,0
NOMBRE63,APELLIDO63,NOMBRE63APELLIDO63@gmail.com,HWIUI,1
NOMBRE64,APELLIDO64,NOMBRE64APELLIDO64@gmail.com,YZQJC,0
NOMBRE65,APELLIDO65,NOMBRE65APELLIDO65@gmail.com,YOWTG,0
NOMBRE66,APELLIDO66,NOMBRE66APELLIDO66@gmail.com,NGTMQ,1
NOMBRE67,APELLIDO67,NOMBRE67APELLIDO67@gmail.com,YYULU,1
NOMBRE68,APELLIDO68,NOMBRE68APELLIDO68@gmail.com,MDFDD,0
NOMBRE69,APELLIDO69,NOMBRE69APELLIDO69@gmail.com,BODCL,1
NOMBRE70,APELLIDO70,NOMBRE70APELLIDO70@gmail.com,KQMXF,1
NOMBRE71,APELLIDO71,NOMBRE71APELLIDO71@gmail.com,ZZYPO,0
NOMBRE72,APELLIDO72,NOMBRE72APELLIDO72@gmail.com,CJMZR,0
NOMBRE73,APELLIDO73,NOMBRE73APELLIDO73@gmail.com,PNYMR,1
NOMBRE74,APELLIDO74,NOMBRE74APELLIDO74@gmail.com,SXXXB,0
NOMBRE75,APELLIDO75,NOMBRE75APELLIDO75@gmail.com,UMAID,0
NOMBRE76,APELLIDO76,NOMBRE76APELLIDO76@gmail.com,ADSAC,0
NOMBRE77,APELLIDO77,NOMBRE77APELLIDO77@gmail.com,NUYOE,0
NOMBRE78,APELLIDO78,NOMBRE78APELLIDO78@gmail.com,XCVFZ,0
NOMBRE79,APELLIDO79,NOMBRE79APELLIDO79@gmail.com,VGBYL,0
NOMBRE80,APELLIDO80,NOMBRE80APELLIDO80@gmail.com,FRYJA,0
NOMBRE81,APELLIDO81,NOMBRE81APELLIDO81@gmail.com,UPWUN,0
NOMBRE82,APELLIDO82,NOMBRE82APELLIDO82@gmail.com,EHBXU,1
NOMBRE83,APELLIDO83,NOMBRE83APELLIDO83@gmail.com,LGPBZ,0
NOMBRE84,APELLIDO84,NOMBRE84APELLIDO84@gmail.com,CENHL,1
NOMBRE85,APELLIDO85,NOMBRE85APELLIDO85@gmail.com,WYJLV,0
NOMBRE86,APELLIDO86,NOMBRE86APELLIDO86@gmail.com,UIMRB,0
NOMBRE87,APELLIDO87,NOMBRE87APELLIDO87@gmail.com,ULMHZ,1
NOMBRE88,APELLIDO88,NOMBRE88APELLIDO88@gmail.com,DHKWN,1
NOMBRE89,APELLIDO89,NOMBRE89APELLIDO89@gmail.com,IUUUB,1
NOMBRE90,APELLIDO90,NOMBRE90APELLIDO90@gmail.com,HGKAA,1
NOMBRE91,APELLIDO91,NOMBRE91APELLIDO91@gmail.com,LWSHI,1
NOMBRE92,APELLIDO92,NOMBRE92APELLIDO92@gmail.com,CQBJL,1
NOMBRE93,APELLIDO93,NOMBRE93APELLIDO93@gmail.com,CWVOT,1
NOMBRE94,APELLIDO94,NOMBRE94APELLIDO94@gmail.com,NGKBH,1
NOMBRE95,APELLIDO95,NOMBRE95APELLIDO95@gmail.com,SENWZ,1
NOMBRE96,APELLIDO96,NOMBRE96APELLIDO96@gmail.com,TPHYW,1
NOMBRE97,APELLIDO97,NOMBRE97APELLIDO97@gmail.com,KXIVR,0
NOMBRE98,APELLIDO98,NOMBRE98APELLIDO98@gmail.com,APBZY,0
NOMBRE99,APELLIDO99,NOMBRE99APELLIDO99@gmail.com,URNZY,1
NOMBRE100,APELLIDO100,NOMBRE100APELLIDO100@gmail.com,PWZTV,1
NOMBRE101,APELLIDO101,NOMBRE101APELLIDO101@gmail.com,VMSDE,0
NOMBRE102,APELLIDO102,NOMBRE102APELLIDO102@gmail.com,DJBOZ,1
NOMBRE103,APELLIDO103,NOMBRE103APELLIDO103@gmail.com,TKWAP,0
NOMBRE104,APELLIDO104,NOMBRE104APELLIDO104@gmail.com,MZJVK,0
NOMBRE105,APELLIDO105,NOMBRE105APELLIDO105@gmail.com,SFKEK,0
NOMBRE106,APELLIDO106,NOMBRE106APELLIDO106@gmail.com,WWCZH,0
NOMBRE107,APELLIDO107,NOMBRE107APELLIDO107@gmail.com,KRUJZ,0
NOMBRE108,APELLIDO108,NOMBRE108APELLIDO108@gmail.com,NIKMQ,1
NOMBRE109,APELLIDO109,NOMBRE109APELLIDO109@gmail.com,HKUMK,0
NOMBRE110,APELLIDO110,NOMBRE110APELLIDO110@gmail.com,MWJZN,1
NOMBRE111,APELLIDO111,NOMBRE111APELLIDO111@gmail.com,OMDJR,1
NOMBRE112,APELLIDO112,NOMBRE112APELLIDO112@gmail.com,MLDRQ,0
NOMBRE113,APELLIDO113,NOMBRE113APELLIDO113@gmail.com,LSHUL,1
NOMBRE114,APELLIDO114,NOMBRE114APELLIDO114@gmail.com,TPGYP,0
NOMBRE115,APELLIDO115,NOMBRE115APELLIDO115@gmail.com,WXXCR,0
NOMBRE116,APELLIDO116,NOMBRE116APELLIDO116@gmail.com,COUOU,0
NOMBRE117,APELLIDO117,NOMBRE117APELLIDO117@gmail.com,EMPHZ,0
NOMBRE118,APELLIDO118,NOMBRE118APELLIDO118@gmail.com,FFOQD,1
NOMBRE119,APELLIDO119,NOMBRE119APELLIDO119@gmail.com,DRCXT,1
NOMBRE120,APELLIDO120,NOMBRE120APELLIDO120@gmail.com,RVAYY,0
NOMBRE121,APELLIDO121,NOMBRE121APELLIDO121@gmail.com,ETURX,1
NOMBRE122,APELLIDO122,NOMBRE122APELLIDO122@gmail.com,FTVJY,0
NOMBRE123,APELLIDO123,NOMBRE123APELLIDO123@gmail.com,KLCUU,1
NOMBRE124,APELLIDO124,NOMBRE124APELLIDO124@gmail.com,OKQYY,0
NOMBRE125,APELLIDO125,NOMBRE125APELLIDO125@gmail.com,LUXLU,0
NOMBRE126,APELLIDO126,NOMBRE126APELLIDO126@gmail.com,BZKOD,1
NOMBRE127,APELLIDO127,NOMBRE127APELLIDO127@gmail.com,EXUJP,1
NOMBRE128,APELLIDO128,NOMBRE128APELLIDO128@gmail.com,BGLSV,0
NOMBRE129,APELLIDO129,NOMBRE129APELLIDO129@gmail.com,PBQHB,0
NOMBRE130,APELLIDO130,NOMBRE130APELLIDO130@gmail.com,XQVRI,0
NOMBRE131,APELLIDO131,NOMBRE131APELLIDO131@gmail.com,CUVES,0
NOMBRE132,APELLIDO132,NOMBRE132APELLIDO132@gmail.com,NLXBX,1
NOMBRE133,APELLIDO133,NOMBRE133APELLIDO133@gmail.com,JLDCS,0
NOMBRE134,APELLIDO134,NOMBRE134APELLIDO134@gmail.com,LVVAB,1
NOMBRE135,APELLIDO135,NOMBRE135APELLIDO135@gmail.com,QXTPF,0
NOMBRE136,APELLIDO136,NOMBRE136APELLIDO136@gmail.com,JNJRN,1
NOMBRE137,APELLIDO137,NOMBRE137APELLIDO137@gmail.com,PEQHU,1
NOMBRE138,APELLIDO138,NOMBRE138APELLIDO138@gmail.com,WXYMK,1
NOMBRE139,APELLIDO139,NOMBRE139APELLIDO139@gmail.com,MUVTD,1
NOMBRE140,APELLIDO140,NOMBRE140APELLIDO140@gmail.com,WVWKP,0
NOMBRE141,APELLIDO141,NOMBRE141APELLIDO141@gmail.com,HVKIP,1
NOMBRE142,APELLIDO142,NOMBRE142APELLIDO142@gmail.com,KGECW,0
NOMBRE143,APELLIDO143,NOMBRE143APELLIDO143@gmail.com,LFTMI,0
NOMBRE144,APELLIDO144,NOMBRE144APELLIDO144@gmail.com,OHMUR,1
NOMBRE145,APELLIDO145,NOMBRE145APELLIDO145@gmail.com,PSFGT,0
NOMBRE146,APELLIDO146,NOMBRE146APELLIDO146@gmail.com,RTRPA,1
NOMBRE147,APELLIDO147,NOMBRE147APELLIDO147@gmail.com,SSORN,1
NOMBRE148,APELLIDO148,NOMBRE148APELLIDO148@gmail.com,EHIYS,0
NOMBRE149,APELLIDO149,NOMBRE149APELLIDO149@gmail.com,WOSUW,1
NOMBRE150,APELLIDO150,NOMBRE150APELLIDO150@gmail.com,TXOFG,1
NOMBRE151,APELLIDO151,NOMBRE151APELLIDO151@gmail.com,ZXSIL,0
NOMBRE152,APELLIDO152,NOMBRE152APELLIDO152@gmail.com,GMQYV,0
NOMBRE153,APELLIDO153,NOMBRE153APELLIDO153@gmail.com,MTATL,0
NOMBRE154,APELLIDO154,NOMBRE154APELLIDO154@gmail.com,PPAHP,0
NOMBRE155,APELLIDO155,NOMBRE155APELLIDO155@gmail.com,CNIME,0
NOMBRE156,APELLIDO156,NOMBRE156APELLIDO156@gmail.com,KTYWP,1
NOMBRE157,APELLIDO157,NOMBRE157APELLIDO157@gmail.com,QVUCX,1
NOMBRE158,APELLIDO158,NOMBRE158APELLIDO158@gmail.com,HYLNH,1
NOMBRE159,APELLIDO159,NOMBRE159APELLIDO159@gmail.com,WAXOK,1
NOMBRE160,APELLIDO160,NOMBRE160APELLIDO160@gmail.com,ZRCJM,1
NOMBRE161,APELLIDO161,NOMBRE161APELLIDO161@gmail.com,VGQOP,0
NOMBRE162,APELLIDO162,NOMBRE162APELLIDO162@gmail.com,XEOQA,0
NOMBRE163,APELLIDO163,NOMBRE163APELLIDO163@gmail.com,SMNHQ,1
NOMBRE164,APELLIDO164,NOMBRE164APELLIDO164@gmail.com,PLIAC,1
NOMBRE165,APELLIDO165,NOMBRE165APELLIDO165@gmail.com,UPHNH,1
NOMBRE166,APELLIDO166,NOMBRE166APELLIDO166@gmail.com,WFNMW,0
NOMBRE167,APELLIDO167,NOMBRE167APELLIDO167@gmail.com,NKRGT,0
NOMBRE168,APELLIDO168,NOMBRE168APELLIDO168@gmail.com,AMARC,0
NOMBRE169,APELLIDO169,NOMBRE169APELLIDO169@gmail.com,GEJHE,1
NOMBRE170,APELLIDO170,NOMBRE170APELLIDO170@gmail.com,KOHUW,0
NOMBRE171,APELLIDO171,NOMBRE171APELLIDO171@gmail.com,GQQXE,1
NOMBRE172,APELLIDO172,NOMBRE172APELLIDO172@gmail.com,AXRIT,0
NOMBRE173,APELLIDO173,NOMBRE173APELLIDO173@gmail.com,EPBFI,0
NOMBRE174,APELLIDO174,NOMBRE174APELLIDO174@gmail.com,BLAQF,1
NOMBRE175,APELLIDO175,NOMBRE175APELLIDO175@gmail.com,JKCOV,1
NOMBRE176,APELLIDO176,NOMBRE176APELLIDO176@gmail.com,JIGQY,0
NOMBRE177,APELLIDO177,NOMBRE177APELLIDO177@gmail.com,QGNVE,0
NOMBRE178,APELLIDO178,NOMBRE178APELLIDO178@gmail.com,VNCWS,1
NOMBRE179,APELLIDO179,NOMBRE179APELLIDO179@gmail.com,XOOPI,0
NOMBRE180,APELLIDO180,NOMBRE180APELLIDO180@gmail.com,TVQIP,1
NOMBRE181,APELLIDO181,NOMBRE181APELLIDO181@gmail.com,SVFFB,0
NOMBRE182,APELLIDO182,NOMBRE182APELLIDO182@gmail.com,XYIVZ,0
NOMBRE183,APELLIDO183,NOMBRE183APELLIDO183@gmail.com,JDRCX,0
NOMBRE184,APELLIDO184,NOMBRE184APELLIDO184@gmail.com,VNASK,1
NOMBRE185,APELLIDO185,NOMBRE185APELLIDO185@gmail.com,QDNMV,0
NOMBRE186,APELLIDO186,NOMBRE186APELLIDO186@gmail.com,IGKTR,1
NOMBRE187,APELLIDO187,NOMBRE187APELLIDO187@gmail.com,OQBAR,1
NOMBRE188,APELLIDO188,NOMBRE188APELLIDO188@gmail.com,KKLNQ,1
NOMBRE189,APELLIDO189,NOMBRE189APELLIDO189@gmail.com,FFZTX,1
NOMBRE190,APELLIDO190,NOMBRE190APELLIDO190@gmail.com,XNCUQ,1
NOMBRE191,APELLIDO191,NOMBRE191APELLIDO191@gmail.com,MSBWJ,1
NOMBRE192,APELLIDO192,NOMBRE192APELLIDO192@gmail.com,SUBLJ,0
NOMBRE193,APELLIDO193,NOMBRE193APELLIDO193@gmail.com,PCYXU,0
NOMBRE194,APELLIDO194,NOMBRE194APELLIDO194@gmail.com,RMOEC,1
NOMBRE195,APELLIDO195,NOMBRE195APELLIDO195@gmail.com,PHLAP,0
NOMBRE196,APELLIDO196,NOMBRE196APELLIDO196@gmail.com,OHOHY,1
NOMBRE197,APELLIDO197,NOMBRE197APELLIDO197@gmail.com,GTKUX,0
NOMBRE198,APELLIDO198,NOMBRE198APELLIDO198@gmail.com,IPTFA,0
NOMBRE199,APELLIDO199,NOMBRE199APELLIDO199@gmail.com,RMWUH,1
NOMBRE200,APELLIDO200,NOMBRE200APELLIDO200@gmail.com,AJVQU,1
NOMBRE201,APELLIDO201,NOMBRE201APELLIDO201@gmail.com,DTERV,0
NOMBRE202,APELLIDO202,NOMBRE202APELLIDO202@gmail.com,SUCGH,0
NOMBRE203,APELLIDO203,NOMBRE203APELLIDO203@gmail.com,BLZWZ,0
NOMBRE204,APELLIDO204,NOMBRE204APELLIDO204@gmail.com,VYKWG,1
NOMBRE205,APELLIDO205,NOMBRE205APELLIDO205@gmail.com,XMOAM,1
NOMBRE206,APELLIDO206,NOMBRE206APELLIDO206@gmail.com,QGWEX,0
NOMBRE207,APELLIDO207,NOMBRE207APELLIDO207@gmail.com,YXMHM,0
NOMBRE208,APELLIDO208,NOMBRE208APELLIDO208@gmail.com,VKGKB,0
NOMBRE209,APELLIDO209,NOMBRE209APELLIDO209@gmail.com,NCVJT,1
NOMBRE210,APELLIDO210,NOMBRE210APELLIDO210@gmail.com,NDFOZ,1
NOMBRE211,APELLIDO211,NOMBRE211APELLIDO211@gmail.com,WGRXD,1
NOMBRE212,APELLIDO212,NOMBRE212APELLIDO212@gmail.com,BUDZZ,1
NOMBRE213,APELLIDO213,NOMBRE213APELLIDO213@gmail.com,ROBUM,0
NOMBRE214,APELLIDO214,NOMBRE214APELLIDO214@gmail.com,XYSGB,0
NOMBRE215,APELLIDO215,NOMBRE215APELLIDO215@gmail.com,HQKRB,1
NOMBRE216,APELLIDO216,NOMBRE216APELLIDO216@gmail.com,NVDFK,0
NOMBRE217,APELLIDO217,NOMBRE217APELLIDO217@gmail.com,YEZMX,1
NOMBRE218,APELLIDO218,NOMBRE218APELLIDO218@gmail.com,GKRBI,1
NOMBRE219,APELLIDO219,NOMBRE219APELLIDO219@gmail.com,WRFHC,0
NOMBRE220,APELLIDO220,NOMBRE220APELLIDO220@gmail.com,RZJWO,1
NOMBRE221,APELLIDO221,NOMBRE221APELLIDO221@gmail.com,JRRQR,1
NOMBRE222,APELLIDO222,NOMBRE222APELLIDO222@gmail.com,ZFFZX,0
NOMBRE223,APELLIDO223,NOMBRE223APELLIDO223@gmail.com,ZLCSP,1
NOMBRE224,APELLIDO224,NOMBRE224APELLIDO224@gmail.com,JYKKO,0
NOMBRE225,APELLIDO225,NOMBRE225APELLIDO225@gmail.com,BBJQM,0
NOMBRE226,APELLIDO226,NOMBRE226APELLIDO226@gmail.com,SNEGH,0
NOMBRE227,APELLIDO227,NOMBRE227APELLIDO227@gmail.com,XYSHQ,1
NOMBRE228,APELLIDO228,NOMBRE228APELLIDO228@gmail.com,MIYZN,1
NOMBRE229,APELLIDO229,NOMBRE229APELLIDO229@gmail.com,NIECM,1
NOMBRE230,APELLIDO230,NOMBRE230APELLIDO230@gmail.com,ECWMG,0
NOMBRE231,APELLIDO231,NOMBRE231APELLIDO231@gmail.com,FWPOY,1
NOMBRE232,APELLIDO232,NOMBRE232APELLIDO232@gmail.com,ZGLCM,1
NOMBRE233,APELLIDO233,NOMBRE233APELLIDO233@gmail.com,EDZUJ,0
NOMBRE234,APELLIDO234,NOMBRE234APELLIDO234@gmail.com,SLADP,0
NOMBRE235,APELLIDO235,NOMBRE235APELLIDO235@gmail.com,ZYSAU,1
NOMBRE236,APELLIDO236,NOMBRE236APELLIDO236@gmail.com,OXLFW,0
NOMBRE237,APELLIDO237,NOMBRE237APELLIDO237@gmail.com,LHRIE,1
NOMBRE238,APELLIDO238,NOMBRE238APELLIDO238@gmail.com,PQTJZ,1
NOMBRE239,APELLIDO239,NOMBRE239APELLIDO239@gmail.com,ICULY,1
NOMBRE240,APELLIDO240,NOMBRE240APELLIDO240@gmail.com,QJKPY,1
NOMBRE241,APELLIDO241,NOMBRE241APELLIDO241@gmail.com,LURAG,1
NOMBRE242,APELLIDO242,NOMBRE242APELLIDO242@gmail.com,HVAVQ,1
NOMBRE243,APELLIDO243,NOMBRE243APELLIDO243@gmail.com,KIXUB,1
NOMBRE244,APELLIDO244,NOMBRE244APELLIDO244@gmail.com,CEDYT,1
NOMBRE245,APELLIDO245,NOMBRE245APELLIDO245@gmail.com,MBUJL,1
NOMBRE246,APELLIDO246,NOMBRE246APELLIDO246@gmail.com,IAGJT,0
NOMBRE247,APELLIDO247,NOMBRE247APELLIDO247@gmail.com,EPXFE,0
NOMBRE248,APELLIDO248,NOMBRE248APELLIDO248@gmail.com,MHWYI,0
NOMBRE249,APELLIDO249,NOMBRE249APELLIDO249@gmail.com,XXWNR,1
NOMBRE250,APELLIDO250,NOMBRE250APELLIDO250@gmail.com,VRDXD,0
NOMBRE251,APELLIDO251,NOMBRE251APELLIDO251@gmail.com,VCFEP,1
NOMBRE252,APELLIDO252,NOMBRE252APELLIDO252@gmail.com,DCLVV,0
NOMBRE253,APELLIDO253,NOMBRE253APELLIDO253@gmail.com,OAJIR,0
NOMBRE254,APELLIDO254,NOMBRE254APELLIDO254@gmail.com,YNVNT,1
NOMBRE255,APELLIDO255,NOMBRE255APELLIDO255@gmail.com,KOTDE,1
NOMBRE256,APELLIDO256,NOMBRE256APELLIDO256@gmail.com,RHJTU,1
NOMBRE257,APELLIDO257,NOMBRE257APELLIDO257@gmail.com,RTZGZ,0
NOMBRE258,APELLIDO258,NOMBRE258APELLIDO258@gmail.com,DSFHK,1
NOMBRE259,APELLIDO259,NOMBRE259APELLIDO259@gmail.com,ZCHFR,0
NOMBRE260,APELLIDO260,NOMBRE260APELLIDO260@gmail.com,VXZYA,0
NOMBRE261,APELLIDO261,NOMBRE261APELLIDO261@gmail.com,SUCNM,0
NOMBRE262,APELLIDO262,NOMBRE262APELLIDO262@gmail.com,EDRJC,0
NOMBRE263,APELLIDO263,NOMBRE263APELLIDO263@gmail.com,APNPZ,1
NOMBRE264,APELLIDO264,NOMBRE264APELLIDO264@gmail.com,YZRHA,0
NOMBRE265,APELLIDO265,NOMBRE265APELLIDO265@gmail.com,OKBBO,0
NOMBRE266,APELLIDO266,NOMBRE266APELLIDO266@gmail.com,FHGKZ,0
NOMBRE267,APELLIDO267,NOMBRE267APELLIDO267@gmail.com,RAFOG,1
NOMBRE268,APELLIDO268,NOMBRE268APELLIDO268@gmail.com,MPGGO,1
NOMBRE269,APELLIDO269,NOMBRE269APELLIDO269@gmail.com,XWTYH,1
NOMBRE270,APELLIDO270,NOMBRE270APELLIDO270@gmail.com,DIMZZ,1
NOMBRE271,APELLIDO271,NOMBRE271APELLIDO271@gmail.com,YUJNR,1
NOMBRE272,APELLIDO272,NOMBRE272APELLIDO272@gmail.com,LCZNO,1
NOMBRE273,APELLIDO273,NOMBRE273APELLIDO273@gmail.com,LKFZY,0
NOMBRE274,APELLIDO274,NOMBRE274APELLIDO274@gmail.com,QLCYS,0
NOMBRE275,APELLIDO275,NOMBRE275APELLIDO275@gmail.com,WKQSX,1
NOMBRE276,APELLIDO276,NOMBRE276APELLIDO276@gmail.com,JVGXO,1
NOMBRE277,APELLIDO277,NOMBRE277APELLIDO277@gmail.com,ETMPS,0
NOMBRE278,APELLIDO278,NOMBRE278APELLIDO278@gmail.com,FDCJQ,0
NOMBRE279,APELLIDO279,NOMBRE279APELLIDO279@gmail.com,ZTUSS,1
NOMBRE280,APELLIDO280,NOMBRE280APELLIDO280@gmail.com,PYYCY,1
NOMBRE281,APELLIDO281,NOMBRE281APELLIDO281@gmail.com,HDSQA,1
NOMBRE282,APELLIDO282,NOMBRE282APELLIDO282@gmail.com,EEGXE,1
NOMBRE283,APELLIDO283,NOMBRE283APELLIDO283@gmail.com,XZWXB,1
NOMBRE284,APELLIDO284,NOMBRE284APELLIDO284@gmail.com,ZBNOR,0
NOMBRE285,APELLIDO285,NOMBRE285APELLIDO285@gmail.com,SXOZW,1
NOMBRE286,APELLIDO286,NOMBRE286APELLIDO286@gmail.com,ITUBV,0
NOMBRE287,APELLIDO287,NOMBRE287APELLIDO287@gmail.com,QTEOP,1
NOMBRE288,APELLIDO288,NOMBRE288APELLIDO288@gmail.com,AOPAY,0
NOMBRE289,APELLIDO289,NOMBRE289APELLIDO289@gmail.com,OFEVU,0
NOMBRE290,APELLIDO290,NOMBRE290APELLIDO290@gmail.com,SOIJT,1
NOMBRE291,APELLIDO291,NOMBRE291APELLIDO291@gmail.com,PTIXL,1
NOMBRE292,APELLIDO292,NOMBRE292APELLIDO292@gmail.com,UIULB,0
NOMBRE293,APELLIDO293,NOMBRE293APELLIDO293@gmail.com,ZTMPI,1
NOMBRE294,APELLIDO294,NOMBRE294APELLIDO294@gmail.com,GHFUV,0
NOMBRE295,APELLIDO295,NOMBRE295APELLIDO295@gmail.com,AFFPX,0
NOMBRE296,APELLIDO296,NOMBRE296APELLIDO296@gmail.com,ACIZS,1
NOMBRE297,APELLIDO297,NOMBRE297APELLIDO297@gmail.com,OLSWL,1
NOMBRE298,APELLIDO298,NOMBRE298APELLIDO298@gmail.com,JIZSI,1
NOMBRE299,APELLIDO299,NOMBRE299APELLIDO299@gmail.com,JSAET,1
NOMBRE300,APELLIDO300,NOMBRE300APELLIDO300@gmail.com,YTUCS,0
NOMBRE301,APELLIDO301,NOMBRE301APELLIDO301@gmail.com,VQBNV,1
NOMBRE302,APELLIDO302,NOMBRE302APELLIDO302@gmail.com,ORDZC,1
NOMBRE303,APELLIDO303,NOMBRE303APELLIDO303@gmail.com,CODFL,1
NOMBRE304,APELLIDO304,NOMBRE304APELLIDO304@gmail.com,AKUIB,1
NOMBRE305,APELLIDO305,NOMBRE305APELLIDO305@gmail.com,SGWFQ,1
NOMBRE306,APELLIDO306,NOMBRE306APELLIDO306@gmail.com,VHDSJ,1
NOMBRE307,APELLIDO307,NOMBRE307APELLIDO307@gmail.com,GUFQK,1
NOMBRE308,APELLIDO308,NOMBRE308APELLIDO308@gmail.com,YMVPY,0
